id,nombre,distrito,lat,lon,x_m,y_m,altitud_m,col,fila,funerario
0,Cerro San Bartolomé - Murallas,juli,-16.204522587,-69.439620129,2468.7,3452.2,4098.0,979,684,False
1,Cerro San Bartolomé - Terrazas Agrícolas,juli,-16.206489351,-69.441514362,2266.5,3233.5,4020.3,972,691,False
2,Cerro San Bartolomé - Estructuras,juli,-16.206846635,-69.439232333,2510.1,3193.7,4014.4,980,692,False
3,Tumatumani,juli,-16.204106025,-69.457105007,602.0,3498.5,3818.0,916,682,False
4,Huaquina  Chullpa 1,juli,-16.203873305,-69.472578749,-1050.0,3524.4,3884.3,860,681,True
5,Huaquina Sapijicani  - Piedra Tallada,juli,-16.206557768,-69.472744191,-1067.6,3225.9,3896.5,860,691,False
6,Huaquina Sapijicani - Chullpa,juli,-16.206461385,-69.471368662,-920.8,3236.6,3941.0,865,691,True
7,Calapaltata,juli,-16.207240057,-69.474869588,-1294.5,3150.0,3851.0,852,693,False
8,Huerto Uyo,juli,-16.197112216,-69.425140287,4014.6,4276.2,3936.3,1031,657,False
9,Kollini - Estructura,juli,-16.195224587,-69.424284912,4105.9,4486.1,3934.0,1034,650,False
10,Kollini - Terrazas Agrícolas,juli,-16.193242784,-69.425319105,3995.5,4706.4,3912.7,1031,643,False
11,Lucini,juli,-16.192165318,-69.426177472,3903.9,4826.2,3916.6,1027,639,False
12,Sanchiputo,juli,-16.187109204,-69.418486229,4725.0,5388.4,3823.0,1055,621,False
13,Huayllune,juli,-16.188535976,-69.400499559,6645.2,5229.8,3861.6,1120,626,False
14,Tumuko,juli,-16.193949398,-69.415413409,5053.0,4627.8,3916.7,1066,645,False
15,Ccayuchawi,juli,-16.191918017,-69.414080727,5195.3,4853.7,3868.4,1071,638,False
16,Tipata,juli,-16.189748467,-69.414066848,5196.8,5095.0,3849.9,1071,630,False
17,Wilaponko,juli,-16.187259801,-69.415446191,5049.5,5371.7,3820.4,1066,621,False
18,Calamar Wichinka,juli,-16.18502318,-69.41736861,4844.3,5620.4,3832.3,1059,613,False
19,Conventillo,juli,-16.190378346,-69.442451454,2166.4,5024.9,3897.3,969,633,False
20,Pisirapi - Maqueta,juli,-16.190494305,-69.438840657,2551.9,5012.0,3907.5,982,633,False
21,Pisirapi - Cementerio,juli,-16.190293922,-69.439569909,2474.1,5034.3,3902.9,979,632,False
22,Conventillo  - Cementerio 1,juli,-16.189839393,-69.440794412,2343.3,5084.9,3894.5,975,631,False
23,Conventillo Chullpa,juli,-16.191044819,-69.443641035,2039.4,4950.8,3899.3,965,635,True
24,Conventillo Cementerio 2,juli,-16.191875762,-69.443989031,2002.3,4858.4,3905.2,963,638,False
