nombre,provincia,distrito,lat,lon,fuente,funerario
Qaqata,puno,plateria,-15.87775601,-69.82147762,INC,False
Calvario Chullpa,puno,plateria,-15.88033341,-69.816416353,INC,True
Jampat Qalani,puno,plateria,-15.873013664,-69.815770441,INC,False
Jach'a Amaya Chullpa,puno,plateria,-15.874366151,-69.816691194,INC,True
Gentil Amaya,puno,plateria,-15.892229942,-69.830587462,INC,True
Holguín,puno,plateria,-15.891092275,-69.832591034,INC,False
Visuta,puno,plateria,-15.888144412,-69.832831109,INC,False
Cruz Amaya,puno,plateria,-15.886933233,-69.830444313,INC,True
Calvario,puno,plateria,-15.888589568,-69.827546198,INC,False
Calvario 1,puno,plateria,-15.887413067,-69.827896329,INC,False
Chontapatja,puno,plateria,-15.885934903,-69.826760097,INC,False
Pucara Patja,puno,plateria,-15.889769175,-69.826383444,INC,False
Pucara Patja 1,puno,plateria,-15.890808582,-69.826425048,INC,False
Compapata Chullpa,puno,acora,-15.961349271,-69.630048652,INC,True
Auquipata Chullpa,puno,acora,-15.959657327,-69.627455026,INC,True
Isañata,puno,capachica,-15.624663095,-69.805759316,INC,False
Orhajuyo,moho,conima,-15.451719152,-69.473259066,INC,False
Qollpa Uta,moho,conima,-15.452032223,-69.474825751,INC,False
Turucunca,moho,conima,-15.453322523,-69.475993855,INC,False
Pallipampa,moho,conima,-15.455208429,-69.477657371,INC,False
Isla Esteves,puno,puno,-15.827932831,-69.993460902,INC,False
Tramo camino Prehispánico San Antón-Azangaro,azangaro,san antón,-14.591192283,-70.327147867,INC,False
Pucara Laccayparque,azangaro,san antón,-14.605039304,-70.336884853,INC,False
Andenerias Huacoto,azangaro,san antón,-14.619384381,-70.349503931,INC,False
Colina Sorire,azangaro,asillo,-14.632974109,-70.364394526,INC,False
Cueva Picotani Punku,azangaro,san antón,-14.531725901,-70.272626759,INC,False
Cerro Abrigo Picotani,azangaro,san antón,-14.532081831,-70.270336687,INC,False
Abrigo Tirapunku Pata,azangaro,san antón,-14.526534406,-70.276457351,INC,False
Asiruni Chupa,azangaro,san antón,-14.543300528,-70.278548857,INC,False
La quinta cerca antiguo pueblo San Anton,azangaro,san antón,-14.596044764,-70.316270241,INC,False
Cerro Pucara de San Anton,azangaro,san antón,-14.575554967,-70.319007196,INC,False
Sitio (Machosillota) o Sillocota,azangaro,asillo,-14.668323644,-70.306719404,INC,False
Monticulo Huacani Rosaspata Machupiskani,azangaro,asillo,-14.625331582,-70.3651364,INC,False
Pucara Puka Orqo Ayawasipata,azangaro,asillo,-14.602596575,-70.349809914,INC,False
Pucara Inanpu,azangaro,asillo,-14.60722372,-70.363966355,INC,False
Ch'acco Kunca,azangaro,asillo,-14.776835298,-70.286899963,INC,False
Camino Naupapampa  Altagracia,azangaro,asillo,-14.762408643,-70.299773806,INC,False
Pucara Trinchera,azangaro,san josé,-14.751531956,-70.272566791,INC,False
Enterramientos Pucara Kunca,azangaro,san josé,-14.744661372,-70.275954408,INC,False
Ch'aco Wasi San Miguel,azangaro,san josé,-14.731763618,-70.282213846,INC,False
Cerro Pararani,azangaro,asillo,-14.741573669,-70.306049898,INC,False
Paraparani Pampa,azangaro,san josé,-14.737371596,-70.240104887,INC,False
Cerro Siwata,azangaro,asillo,-14.750947772,-70.325064377,INC,False
Condor Cuyo,azangaro,san josé,-14.780523308,-70.240693202,INC,False
Andenerias Condorcuyo Q'ocha,azangaro,san josé,-14.778165775,-70.23699158,INC,False
Muyu Pucara,azangaro,azangaro,-14.806731971,-70.219806199,INC,False
Pucara Cayarani,azangaro,azangaro,-14.831847151,-70.207197316,INC,False
Petroglifo de Alto Huancarani,azangaro,san josé,-14.788740633,-70.228801292,INC,False
Alto Huancarani,azangaro,san josé,-14.797110157,-70.225615099,INC,False
Cruzchaqui,puno,capachica,-15.649539959,-69.788652743,INC,False
Cruzpata,puno,capachica,-15.646999763,-69.788643009,INC,False
Cruzpata Huacachupa,puno,capachica,-15.647319722,-69.790164956,INC,False
Aylli Pucara - Marani - Ispalla,moho,conima,-15.54911538,-69.496878816,INC,False
Punta Chupa,moho,conima,-15.536279946,-69.507879546,INC,False
Mulsina Cancha,puno,amantaní,-15.757722764,-69.6894584,INC,False
Wichay Ccari,puno,amantaní,-15.761031417,-69.689460232,INC,False
Mulsina Pata,puno,amantaní,-15.759022685,-69.690041548,INC,False
Ccoano Pata,puno,amantaní,-15.790392861,-69.681044749,INC,False
Uray Q'ari,puno,amantaní,-15.77023118,-69.684683584,INC,False
Contiti,yunguyo,anapia,-16.332518101,-68.851843785,INC,False
Hacienda San Isidro,yunguyo,anapia,-16.325326402,-68.845136788,INC,False
Aracca,yunguyo,anapia,-16.320318166,-68.857975432,INC,False
Cerro Huanacaure,yunguyo,anapia,-16.308087238,-68.858508466,INC,False
Yanaricune,yunguyo,anapia,-16.287063941,-68.87967713,INC,False
Cerro Yanaricune,yunguyo,anapia,-16.287877745,-68.880013595,INC,False
Luquicachi,yunguyo,unicachi,-16.23527418,-68.951228408,INC,False
Cerro Asanquita,yunguyo,unicachi,-16.234333032,-68.947195552,INC,False
Queñaylaso,yunguyo,unicachi,-16.241564223,-68.943413051,INC,False
Queusa,yunguyo,unicachi,-16.243959791,-68.943094195,INC,False
Incatiana,puno,amantaní,-15.668642386,-69.725623108,INC,False
Punta Jaichjatahuenjalla,yunguyo,anapia,-16.293710821,-68.868478148,INC,False
Camino Orurillo - Vizcachani  Nuñoa,melgar,orurillo,-14.687397324,-70.507890114,INC,False
Tramo de Camino Orurillo - Ayaviri,melgar,orurillo,-14.720532162,-70.527369262,INC,False
Muro Inca Plaza de Orurillo,melgar,orurillo,-14.72718921,-70.511516029,INC,False
Llamaque (Pukara ),melgar,orurillo,-14.73048823,-70.519813752,INC,False
Cajanturani,melgar,orurillo,-14.734208985,-70.52441825,INC,False
Cueva Qaqa Punku,melgar,orurillo,-14.737153636,-70.52882245,INC,False
Sector Trapiche  Mont¡culo,melgar,orurillo,-14.736558787,-70.529932801,INC,False
Cista Funeraria Carmen Alto,melgar,orurillo,-14.691468672,-70.507286607,INC,False
Pucara Inca Cancha,melgar,orurillo,-14.699021004,-70.484086159,INC,False
Pucara Ayacunca,melgar,orurillo,-14.705207092,-70.465053729,INC,False
Chullpas de Ayacunca,melgar,orurillo,-14.699021004,-70.484086159,INC,True
Pucara Onocora,melgar,orurillo,-14.702804176,-70.461963932,INC,False
Camino Balsapata - Orurillo,melgar,orurillo,-14.70742782,-70.491014909,INC,False
Interuyoc Chupa Carman Alto,melgar,orurillo,-14.709950438,-70.492295004,INC,False
Montículo Huanacumarca,melgar,orurillo,-14.704224286,-70.505591145,INC,False
Huaricunca,melgar,nuñoa,-14.483713829,-70.639328212,INC,False
Orqorara,melgar,nuñoa,-14.488943668,-70.630720776,INC,False
Pucara Pitiquiña,melgar,nuñoa,-14.486260871,-70.657621654,INC,False
Maukallaqta Nuñoa,melgar,nuñoa,-14.445291465,-70.541602761,INC,False
Hatun  Pucara Qajsile,melgar,nuñoa,-14.434684043,-70.565671882,INC,False
Huancasaya,melgar,nuñoa,-14.434646486,-70.574028109,INC,False
Montículo Qomer Moqo  Huancasaya,melgar,nuñoa,-14.498796682,-70.577625126,INC,False
Montículo Huaycho,melgar,nuñoa,-14.49642065,-70.626489471,INC,False
Promontorio tipo Isla,melgar,nuñoa,-14.544307381,-70.58410918,INC,False
Pampa Santa Maria,melgar,nuñoa,-14.548043693,-70.582270674,INC,False
Pucara Vizcachani,melgar,nuñoa,-14.546420116,-70.562930272,INC,False
Pucara Queuñachaka,melgar,nuñoa,-14.456627582,-70.648135747,INC,False
Montículo Ciruruni  Moqo,melgar,nuñoa,-14.563470092,-70.63647313,INC,False
Montículo Santa Maria,melgar,nuñoa,-14.516674849,-70.561440853,INC,False
Montículos Esmeralda,melgar,nuñoa,-14.522342622,-70.533970108,INC,False
Montículo Pasanacollo,melgar,nuñoa,-14.540960744,-70.518973319,INC,False
Cerro Salitrera,melgar,nuñoa,-14.570925362,-70.514630882,INC,False
Estela de Acllamayo,melgar,orurillo,-14.614157944,-70.482261713,INC,False
Collpa Moqo,melgar,nuñoa,-14.579550719,-70.510077184,INC,False
Chijnarapi,melgar,orurillo,-14.671003298,-70.528297121,INC,False
Munaypata (Piedra como fuente de agua),melgar,orurillo,-14.727718584,-70.51349785,INC,False
Camellones Carmen Alto,melgar,orurillo,-14.671078925,-70.502848055,INC,False
Pucara Navecita,melgar,orurillo,-14.706609779,-70.477609078,INC,False
Sala Kancha Pampa,puno,amantaní,-15.656633561,-69.718489835,INC,False
Gentil Juscco,puno,amantaní,-15.669919724,-69.719329377,INC,True
Coanos Aylli Cancha,puno,amantaní,-15.665043842,-69.71203451,INC,False
Llaquistiti Pata (Pachamama),puno,amantaní,-15.672630114,-69.717071466,INC,False
Suchino Pata - Supay Wasi,puno,capachica,-15.649662407,-69.787281748,INC,False
Suchino Pujro,puno,capachica,-15.650176036,-69.787740869,INC,False
Añutani,el collao,ilave,-16.156257557,-69.552661339,INC,False
Altarani Llavinipunko,el collao,ilave,-16.170995103,-69.541047171,INC,False
Istuyo,el collao,ilave,-16.174447586,-69.541327837,INC,False
Incatiana,el collao,ilave,-16.160978946,-69.548147335,INC,False
Inca Bebedero,el collao,ilave,-16.161339798,-69.544911994,INC,False
Santiago Tire - Cementerio,el collao,pilcuyo,-16.167058069,-69.528530361,INC,False
Jaquecollo,el collao,pilcuyo,-16.170629951,-69.528062798,INC,False
Cerro San Bartolomé - Murallas,chucuito,juli,-16.204522587,-69.439620129,INC,False
Cerro San Bartolomé - Terrazas Agrícolas,chucuito,juli,-16.206489351,-69.441514362,INC,False
Cerro San Bartolomé - Estructuras,chucuito,juli,-16.206846635,-69.439232333,INC,False
Tumatumani,chucuito,juli,-16.204106025,-69.457105007,INC,False
Huaquina  Chullpa 1,chucuito,juli,-16.203873305,-69.472578749,INC,True
Huaquina Sapijicani  - Piedra Tallada,chucuito,juli,-16.206557768,-69.472744191,INC,False
Huaquina Sapijicani - Chullpa,chucuito,juli,-16.206461385,-69.471368662,INC,True
Calapaltata,chucuito,juli,-16.207240057,-69.474869588,INC,False
Huerto Uyo,chucuito,juli,-16.197112216,-69.425140287,INC,False
Kollini - Estructura,chucuito,juli,-16.195224587,-69.424284912,INC,False
Kollini - Terrazas Agrícolas,chucuito,juli,-16.193242784,-69.425319105,INC,False
Lucini,chucuito,juli,-16.192165318,-69.426177472,INC,False
